Website,Performance,Accessibility,Best Practices,SEO,Total Score,Rank,Date
https://www.amazon.com/,99,100,96,92,387,1,10/1/2025
https://www.agilent.com/,90,81,93,83,347,2,10/1/2025
https://www.bio-rad.com/,73,100,79,92,344,3,10/1/2025
https://www.zeiss.com/corporate/en/home.html,55,93,100,92,340,4,10/1/2025
https://www.roche.com/,44,100,100,92,336,5,10/1/2025
https://www.merck.com/,48,95,100,92,335,6,10/1/2025
https://danahercryo.com/,56,95,79,100,330,7,10/1/2025
https://www.thomassci.com/,59,88,79,85,311,8,10/1/2025
https://www.hitachi.com/en/,21,90,96,85,292,9,10/1/2025
https://www.illumina.com/,34,98,75,83,290,10,10/1/2025
https://estore.oxinst.com/us/,28,82,68,100,278,11,10/1/2025
https://www.shimadzu-usa.com/,69,71,64,73,277,12,10/1/2025
https://www.qiagen.com/us,29,90,57,100,276,13,10/1/2025
https://www.bruker.com/en.html,34,80,75,77,266,14,10/1/2025
https://www.fishersci.com/us/en/home.html,23,100,57,85,265,15,10/1/2025
https://www.sigmaaldrich.com/US/en,25,93,68,77,263,16,10/1/2025
https://www.bd.com/en-us,31,87,57,77,252,17,10/1/2025
https://www.beckmancoulter.com/,32,74,54,77,237,18,10/1/2025
https://www.avantorsciences.com/us/en/,1,85,71,77,234,19,10/1/2025
https://www.cytivalifesciences.com/en/us,7,78,57,85,227,20,10/1/2025
